Name,Street,City,Zip
EL CAJON GAS-MINI MARKET,06301 EL CAJON BLVD,SAN DIEGO,92115
ARCO AM/PM #5134,05405 CLAIREMONT MESA,SAN DIEGO,92117
CHRIS' MARKET,03402 MYRTLE AVE,SAN DIEGO,92104
IDEAL MARKET #2,02996 NATIONAL AVE,SAN DIEGO,92113
MIKE'S LIQUOR II,03549 MISSION AVE #A,OCEANSIDE,92058
VALERO,01791 N 2ND ST STE A,EL CAJON,92021
SAWAYA BROTHERS MARKET,00425 S 30TH ST,SAN DIEGO,92113
SONNY'S LIQUOR MART,03604 MIDWAY,SAN DIEGO,92110
7-ELEVEN 2111 #33542,09187 CLAIREMONT MESA BLV,SAN DIEGO,92123
ARCO AM/PM #9564,06404 MISSION GORGE RD,SAN DIEGO,92120
TRADEWINDS LIQUOR,03111 54TH ST,SAN DIEGO,92105
VILLAGE SQUARE LIQUOR,06602 MISSION GORGE,SAN DIEGO,92120
EMERALD SPIRITS,01825 W VISTA WAY,VISTA,92083
WALGREENS #6094,03005 MIDWAY DRIVE,SAN DIEGO,92025
LIVE OAK SPRINGS MARKET,37820 OLD HWY 80,BOULEVARD,91905
7-ELEVEN 2111 #13648,07750 STARLING,SAN DIEGO,92123
BOTTLE & BASKET MARKET,02289 IMPERIAL,SAN DIEGO,92102
GIANT K MARKET,00606 CROUCH ST,OCEANSIDE,92054
KEG N BOTTLE,03566 MT ACADIA BLVD,SAN DIEGO,92111
PRODUCTOS ORTIZ MARKET,01310 S. ESCONDIDO BLVD #,ESCONDIDO,92025
QUICK KORNER #59,00102 S COAST ST,OCEANSIDE,92054
7-ELEVEN 2111 #26190,01749 S COAST ST,OCEANSIDE,92054
7-ELEVEN 2111 #27623,06401 MISSION GORGE RD,SAN DIEGO,92120
Z-MARKET,03200 MISSION AVE STE A,OCEANSIDE,92058
DEL MESA LIQUOR,06090 FRIARS,SAN DIEGO,92108
RED & WHITE,00700 N COAST ST,OCEANSIDE,92054
ROYAL LIQUOR,00890 N SANTA FE,VISTA,92083
TERRA NOVA SHELL,00350 E H ST,CHULA VISTA,91910
BRUNO'S MARKET,02988 IMPERIAL AVE,SAN DIEGO,92102
BIG BEN MARKET,00108 E 8TH ST,NATIONAL CITY,92050
COZINES GROCERY,00402 CIVIC CENTER DR,NATIONAL CITY,92050
WINDY CITY MARKET,00701 BROADWAY,EL CAJON,92021
GENESEE VALERO INC,02777 HEALTH CENTER DR.,SAN DIEGO,92123
HI-BEV LIQUOR,02111 HIGHLAND AVE,NATIONAL CITY,91950
RAMONA OLD TIME COUNTRY,00977 MAIN ST,RAMONA,92065
7-ELEVEN 2111 #33053,04625 FRAZEE RD,OCEANSIDE,92057
LA CASA LIQUOR,00228 HIGHLAND,NATIONAL CITY,92050
PLAZA DRIVE AM PM,03804 PLAZA BLVD,OCEANSIDE,92057
DON JOHN MARKET,00431 N HIGHLAND,NATIONAL CITY,91950
DIAMOND DOT,01740 S 43RD ST,SAN DIEGO,92113
MOONLITE MARKET,00101 S MEADOWBROOK DR,SAN DIEGO,92114
TOMMY'S MARKET,01581 E VISTA WAY,VISTA,92084
MESA LIQUOR & DELI,04919 CONVOY ST,SAN DIEGO,92111
PALM SPRINGS LIQUOR,04301 PALM AVE,LA MESA,91941
PINE VALLEY STORE,28820 HWY 80,PINE VALLEY,91962
VALLEY CENTER FOOD,27537 VALLEY CENTER RD,VALLEY CENTER,92082
BELVEDERE LIQUOR,10769 WOODSIDE STE 101,SANTEE,92071
MISSION GORGE MARKET,07757 MISSION GORGE,SANTEE,92071
FARMERS DISCOUNT MARKETS,01535 E 18TH ST,NATIONAL CITY,92050
MR A'S LIQUOR,00254 VISTA VILLAGE DR,VISTA,92083
7-ELEVEN 2111 #27659,03185 MIDWAY,SAN DIEGO,92110
7-ELEVEN 2131 #16070,00394 W CHASE AVE,EL CAJON,92020
BEL AIR MARKET,04473 LOGAN AVE,SAN DIEGO,92113
JERRY'S MKT,00841 S 45TH ST,SAN DIEGO,92113
RANCH HOUSE LIQUOR,00404 PALM AVE,NATIONAL CITY,92050
RANCHO MARKET,02970 IMPERIAL AVE,SAN DIEGO,92102
ALPINE INN WINE & SPIRITS,02223 ALPINE BLVD,ALPINE,92001
CARLSBAD COUNTRY WINE/LIQ,04901 EL CAMINO REAL #A,CARLSBAD,92008
HAPPY DAZE LIQUOR,03392 UNIVERSITY,SAN DIEGO,92104
IMPERIAL BEACH LIQUOR,00801 SEA COAST DR,IMPERIAL BEACH,92032
MINIT-MART MARKET,02351 ULRIC ST,SAN DIEGO,92111
RANCH MARKET AND DELI,16236 SAN DIEGUITO BLDG 2,RANCHO SANTA FE,92067
CARDIFF VALERO,00820 BIRMINGHAM DR,ENCINITAS,92007
CHUCK'S MARKET,00604 S 38TH ST,SAN DIEGO,92113
WRIGLEY'S #1 SUPERMARKET,00034 N EUCLID AVE,NATIONAL CITY,92050
MARCUS LIQ & DELI,00440 W FELICITA AVE STE1,ESCONDIDO,92025
CAMPUS 76/SAN MARCOS,00102 E CARMEL ST,SAN MARCOS,92078
VALENTINOS LOUNGE & GRILL,01730 E PALOMAR ST,CHULA VISTA,91913
ACE LIQUOR,02892 MISSION BLVD,SAN DIEGO,92109
ALPINE LIQUOR,02262 ALPINE BLVD,ALPINE,92001
ALPINE MOUNTAIN LIQUOR,04008 WILLOWS ROAD,ALPINE,91901
WEST MAIN ST ARCO AM/PM,01245 W MAIN ST,EL CAJON,92020
PIERVIEW MARKET & SPIRITS,00218 N CLEVELAND ST,OCEANSIDE,92054
E FOOD SERVICE,00997 SAN MARCOS BLVD #10,SAN MARCOS,92069
CITY LIQUOR HOUSE,01801 5TH AVE,SAN DIEGO,92101
COAST MARKET,03206 MISSION BLVD,SAN DIEGO,92109
ENCINITAS WINE & LIQUOR,00625 S COAST HWY 101,ENCINITAS,92024
COUNTRY CREEK MARKET,15141 HWY 80,EL CAJON,92021
DICKS'S LIQUOR,00737 PEARL ST STE 101,LA JOLLA,92037
FOOD BARGAIN MKT,06261 IMPERIAL,SAN DIEGO,92114
FULLERS LIQUOR,03896 ROSECRANS,SAN DIEGO,92110
GARDEN FARMS MARKET,00370 E ST,CHULA VISTA,91910
HAPPY JUG LIQUOR,00143 AMMUNITION RD,FALLBROOK,92028
RAMCO,00741 HWY 78,RAMONA,92065
JAMACHA PRODUCE MARKET,10761 JAMACHA BLVD. ST D,SPRING VALLEY,91978
KEILS FOOD STORES,07403 JACKSON DR,SAN DIEGO,92119
KENWOOD LIQUOR,09612 DALE AVE #1,SPRING VALLEY,91977
LA CENTRAL MARKET,02001 NATIONAL AVE,SAN DIEGO,92113
LA FIESTA LIQUORS,10497 SAN DIEGO MISSION,SAN DIEGO,92120
LA JOLLA COUNTRY MARKET,01030 TORREY PINES RD #A,LA JOLLA,92037
LANDIS ST MARKET,04069 LANDIS,SAN DIEGO,92105
MADDOX LIQUOR,03243 FAIRMOUNT AVE,SAN DIEGO,92105
MIKE'S LIQUOR,00907 S COAST ST,OCEANSIDE,92054
MIKE'S LIQUOR,00228 KALBAUGH ST,RAMONA,92065
MISSION BAY LIQUOR,01580 GARNET AVE,SAN DIEGO,92109
PALOMAR MARKET,01802 W WASHINGTON,SAN DIEGO,92103
PARK PLACE LIQUOR,01000 PARK PL,CORONADO,92118
PLAZA MARKET & DELI,01464 GRAVES STE 101,EL CAJON,92021
RANCHO SD WINE & SPIRIT,02782 SWEETWATER SPGS BLV,SPRING VALLEY,91977
SAMBA'S LIQUOR,01252 MAIN ST,RAMONA,92065
KEG N BOTTLE #3,01827-29 MASSACHUSETTS ST,LEMON GROVE,91945
SERVALL MARKET,01279 UNIVERSITY,SAN DIEGO,92103
7-ELEVEN 2111 #21793,00850 W MISSION RD,ESCONDIDO,92027
7-ELEVEN 2131 #15070,10777 JAMACHA BLVD,SPRING VALLEY,91978
SKYLINE CONVENIENCE STORE,07346 SKYLINE DR,SAN DIEGO,92114
APPLETREE MARKET,04404 UNIVERSITY AVE,SAN DIEGO,92105
STADIUM MARKET,02677 MISSION VILLAGE DR,SAN DIEGO,92123
STAGE STOP LIQUOR,00578 MAIN ST,RAMONA,92065
SUNSET MARKET,00985 BROADWAY STE L,CHULA VISTA,92011
TAVERN ROAD VALERO,01140 TAVERN RD,ALPINE,91901
PICCADILLY MARKET PLACE,14149 TWIN PEAKS RD STE 1,POWAY,92064
SUPREME GASOLINE,00196 BROADWAY,CHULA VISTA,92010
WISCONSIN MARKET,00202 WISCONSIN AVE,OCEANSIDE,92054
XPRESS FOOD STORE,00640 E ST,CHULA VISTA,91910
SANTA FE PETROLEUM INC,01403 S SANTA FE AVE,VISTA,92083
B & B LIQUOR,00141 E BROADWAY,VISTA,92083
BLVD. LIQ,02105 EL CAJON BLVD,SAN DIEGO,92104
ARCO AM/PM #1806,04498 BONITA RD,BONITA,92002
BOTTLE RACK LIQUOR,05307 LAKE MURRAY STE B,LA MESA,92041
CALIFORNIA LIQUOR,03013 JUNIPER,SAN DIEGO,92104
SPRING CHEVRON,08200 UNIVERSITY,LA MESA,91941
CIRCLE H LIQUOR,00600 PALM AVE STE 113,IMPERIAL BEACH,92032
COTTAGE LIQUOR,03749 PARK BLVD,SAN DIEGO,92103
DEL MISSION LIQUOR,00135 WASHINGTON,SAN DIEGO,92103
EASTRIDGE LIQUOR,07705 UNIVERSITY AVE,LA MESA,91941
COMSTOCK MARKET,02145 COMSTOCK ST,SAN DIEGO,92111
EDDIE'S LIQUOR,06585 OSLER,SAN DIEGO,92111
KEG & BOTTLE #2,06060 EL CAJON BLVD,SAN DIEGO,92115
BIG SAVE,01749 FERN ST,SAN DIEGO,92102
VIVA MARKET,01632 E VALLEY PKWY,ESCONDIDO,92025
FOOD VALUE MKT #4,01945 E EL NORTE PKWY,ESCONDIDO,92027
GEORGE'S CONV & LIQUOR,12930 CAMPO RD #M,JAMUL,91935
SANTEE DISCOUNT MARKET,11541 WOODSIDE AVE #B,SANTEE,92071
GO-MART,00120 W EL NORTE PKWY,ESCONDIDO,92026
"HUB MARKET, THE",00748 6TH AVE,SAN DIEGO,92101
KEILS FOOD,03015 CLAIREMONT DR,SAN DIEGO,92117
KING'S LIQUOR & DELI,03021 ALTA VIEW DR STE A,SAN DIEGO,92139
TIMES MARKET,12346 WOODSIDE STE G,LAKESIDE,92040
KRIST LIQUOR,07152 LINDA VISTA,SAN DIEGO,92111
SPRINGS STREET GAS/MKT,04925 SPRING ST,LA MESA,91941
LINDA LIQUOR,06950 1/2 LINDA VISTA RD,SAN DIEGO,92111
FIVE STAR MARKET & LIQUOR,07495 UNIVERSITY AVE,LA MESA,91941
MART LIQUOR,08695 LA MESA,LA MESA,92041
MR LIQUOR #3,12215 WOODSIDE,LAKESIDE,92040
OLD GROVE SHELL,00185 OLD GROVE,OCEANSIDE,92054
TOWN CENTER MARKET,29144-48 VALLEY CENTER RD,VALLEY CENTER,92082
PARTY HOUSE LIQUORS,06405 UNIVERSITY,SAN DIEGO,92115
HOLIDAY LIQUOR,01717 E VISTA WAY #104-05,VISTA,92084
RAY'S LIQUOR,03041 30TH ST,SAN DIEGO,92104
RODEO'S MEAT MARKET,00356 W VISTA VILLAGE WAY,VISTA,92083
SABATINI'S LIQ,01780 ROSECRANS,SAN DIEGO,92106
STARSHINE MARKET,04475 CLAIREMONT MESA,SAN DIEGO,92117
7-ELEVEN 2111 #13625,00470 N MELROSE,VISTA,92083
7-ELEVEN 2111 #19883,16703 BERNARDO CTR DR,SAN DIEGO,92128
7-ELEVEN 2131 #20245,10133 MAINE AVE,LAKESIDE,92040
SHELL CAR WASH AT ENC RCH,01060 N EL CAMINO REAL,ENCINITAS,92024
SPIRITS OF ST GERMAIN,03251 HOLIDAY CT STE 101,LA JOLLA,92037
STARS & STRIPES MART,02907 SHELTER ISLAND #111,SAN DIEGO,92106
SUNSHINE LIQUOR,03911 VOLTAIRE,SAN DIEGO,92107
7 ELEVEN 2131 #39199,01999 SWEETWATER RD,NATIONAL CITY,91950
ARCO SOUTH MELROSE,01590 S MELROSE,VISTA,92083
ARCO SUNSHINE MARKET,07974 UNIVERSITY AVE.,LA MESA,92041
ARCO,01185 PALM AVE,IMPERIAL BEACH,91932
ASH & WASHINGTON LIQUOR,01162 E WASHINGTON,ESCONDIDO,92025
UNITED MARKET,02567 UNIVERSITY,SAN DIEGO,92104
VILLAGE STORE,01145 ROSECRANS,SAN DIEGO,92106
WHISPERING TREES MARKET,00088 BONITA RD STE E,CHULA VISTA,92010
GARDEN FARMS MARKET 2,12580 LAKESHORE DR,LAKESIDE,92040
A & W LIQUOR,07021 UNIVERSITY AVE,LA MESA,91941
ADAMS AVENUE LIQUOR,02740 ADAMS AVE,SAN DIEGO,92116
CIRCLE K #2655087,01801 S COAST ST,OCEANSIDE,92054
ARENA FUEL-ARCO AM/PM,03580 SPORTS ARENA,SAN DIEGO,92110
ALTA DENA DRIVE-IN MKT,06426 MOUNT ADA RD,SAN DIEGO,92111
RAMCO PETROLEUM #3,00447 TECATE RD,TECATE,91980
HANDY MARKET,00215 S 30TH ST,SAN DIEGO,92113
BANCROFT MARKET & LIQUOR,03650 BANCROFT DR,SPRING VALLEY,92077
BASE LIQUOR,03201 NATIONAL AVE,SAN DIEGO,92113
BONEY'S MARKET,01820 OCEANSIDE BLVD,OCEANSIDE,92054
V & D MARKET,02193 OCEAN VIEW BLVD,SAN DIEGO,92113
CIRCLE K #777,01005 E MISSION RD,FALLBROOK,92028
NATIONAL CITY MKT-ESCROW,00240 E 18TH ST,NATIONAL CITY,91950
VALLEY MARKET,08555 STATION VILLAGE LN.,SAN DIEGO,92108
O & D MARKET,00546 SAMPSON ST,SAN DIEGO,92113
KEG N BOTTLE 5,06380 DEL CERRO BLVD,SAN DIEGO,92120
EL MEXICANO MARKET,00602 S ESCONDIDO BLVD,ESCONDIDO,92025
EL GENERAL MARKET,04232 POPLAR ST,SAN DIEGO,92105
FALCON LIQUOR,00805 W WASHINGTON,SAN DIEGO,92103
FIORI'S PIZZA,03981 EAGLE ST,SAN DIEGO,92103
KING MARKET,07907 CAJON RD,EL CAJON,92021
DEL MAR LIQUOR & DELI,01149 CAMINO DEL MAR,DEL MAR,92014
FRESH GARDEN MARKET,04291 MARKET ST #A,SAN DIEGO,92102
AL'S SHORT STOP,00908 DEL DIOS RD,ESCONDIDO,92025
HORSESHOE LIQUOR & MARKET,00949 GRAND AVE,SPRING VALLEY,91977
KING'S LIQUOR #2,09353 CLAIREMONT MESA,SAN DIEGO,92123
DANIELS MARKET,02098 HARRISON,SAN DIEGO,92113
MESA FOOD & LIQUOR,08360 PARADISE VALLEY RD,SPRING VALLEY,91977
MIDWAY WINE & SPIRITS,03040 MIDWAY,SAN DIEGO,92110
MISSION VALLEY MOBIL,05494 MISSION CTR RD,SAN DIEGO,92108
MORENA BLVD MKT,01045 MORENA BLVD,SAN DIEGO,92110
OAK SHORES MALT SHOP,02425 LAKE MORENA DR.,CAMPO,91906
ONE STOP CONVENIENCE,04770 OCEANSIDE BLVD,OCEANSIDE,92054
VISTA WINE & SPIRITS,00755 SHADOWRIDGE,VISTA,92083
OSCAR'S MARKET,04210 MARKET,SAN DIEGO,92102
PONDEROSA DELI MARKET,01897 NATIONAL AVE,SAN DIEGO,92113
RAMONA LISA BEER & WINE,01140 MAIN STREET #109-12,RAMONA,92065
ROLANDO'S,01033 ELKELTON BLVD,SPRING VALLEY,92077
7-ELEVEN 2111 #18977,00578 E MISSION RD,SAN MARCOS,92069
7-ELEVEN 2111 #21785,00260 E MISSION RD,ESCONDIDO,92025
7-ELEVEN #2111 #33970,00405 N TWIN OAKS VALLEY,SAN MARCOS,92069
CLOVERLEAF MARKET,03070 REYNARD WAY,SAN DIEGO,92103
7-ELEVEN 2131 #21794,06991 EL CAJON BLVD,SAN DIEGO,92115
7-ELEVEN 2111 #13661,09251 CARLTON HILLS BLVD,SANTEE,92071
EBK PETROLEUM,05345 KEARNY VILLA,SAN DIEGO,92123
SHELL FOOD MART,00145 EMERALD,VISTA,92083
SUMMERS MARKET,04602 PARK BLVD,SAN DIEGO,92116
LAKE MORENA MARKET,29801 OAK DR,CAMPO,92006
VALERO,01210 MAIN ST,RAMONA,92065
TEXAS LIQUOR,00945 CARLSBAD VLG DR,CARLSBAD,92008
VP 09576,04202 CLAIREMONT MESA BVD,SAN DIEGO,92117
SUNSHINE MARKET,09108 CAMPO RD,SPRING VALLEY,92077
VALLEY MARKET,01356 W VALLEY PKWY # A19,ESCONDIDO,92029
LIQUOR PLUS,01629 S COAST HWY,OCEANSIDE,92054
BAYHO LIQUOR & DELI,04031 AVATI DR,SAN DIEGO,92117
SKY LIQUOR,03607 COLLEGE AVE,SAN DIEGO,92115
BOTTLE BIN LIQUOR,00810 E VISTA WAY,VISTA,92084
CALIFORNIA SUPER GAS,00510 W 5TH AVE,ESCONDIDO,92025
CHIP'S LIQUOR STORE,01924 GARNET AVE,SAN DIEGO,92109
KEARNEY MESA MARKET,07631 LINDA VISTA,SAN DIEGO,92111
LOS COCHES VALERO,08575 LOS COCHES RD,EL CAJON,92021
RAMCO PETROLEUM,30351 HWY 78,SANTA YSABEL,92070
EL NORTE LIQUOR,01284 N ESCONDIDO BLVD,ESCONDIDO,92019
FIVE STARS MARKET,00553 W 9TH AVE,ESCONDIDO,92025
5 STAR DISCOUNT MKT & LIQ,00650 DOUGLAS DR STE 113,OCEANSIDE,92057
