Company,Address,City,Zip Code
WESTBURY VILLAGE DELI (ON A ROLL)       ,242 POST AVENUE                         ,WESTBURY            ,11590
MAIN STREET DELI                        ,559 MAIN STREET                         ,WESTBURY            ,11590
URBAN AVE AUTO WASH                     ,14 URBAN AVENUE                         ,WESTBURY            ,11590
POST AVE STORE                          ,129 POST AVENUE                         ,WESTBURY            ,11590
LATIN AMERICAN DELI                     ,626 UNION AVENUE                        ,WESTBURY            ,11590
COUNTRY PARK SANDWICH SHOPPE            ,1618 OLD COUNTRY ROAD                   ,WESTBURY            ,11590
OLD COUNTRY RD GROCERY & DELI           ,789 OLD COUNTRY ROAD                    ,WESTBURY            ,11590
NEWSTAND WESTBURY                       ,280 GRAD BLVD                           ,WESTBURY            ,11590
CAPERS CATERING                         ,594 OLD COUNTRY ROAD                    ,WESTBURY            ,11590
BRUSH HOLLOW DELI & PIZZA               ,990 BRUSH HOLLOW ROAD                   ,WESTBURY            ,11590
WESTBURY DELI & GROCERY                 ,994 PROSPECT AVENUE                     ,WESTBURY            ,11590
PETE'S CONVENIENCE                      ,820 CARMEN AVE                          ,WESTBURY            ,11590
CITGO                                   ,495 UNION AVE                           ,WESTBURY            ,11590
STATE STREET DELLI                      ,40 STATE STREET                         ,WESTBURY            ,11590
LUNCHBOX PARKWAY PLAZA                  ,1400 OLD COUNTRY ROAD                   ,WESTBURY            ,11590
CREATIVE GOURMET                        ,917 MERRICK AVE                         ,WESTBURY            ,11590
VALERO GAS                              ,549 OLD COUNTRY ROAD                    ,WESTBURY            ,11590
SEAQUA DELICATESSEN                    ,430-10 NORTH COUNTRY ROAD              ,ST. JAMES          ,11780
PARKWAY DELI                           ,1045 WILLIS AVENUE                     ,ALBERTSON          ,11507
DAVINCI MARKET                         ,960 WILLIS AVE                         ,ALBERTSON          ,11507
7-11 #34228                            ,250 JERICHO TPKE                       ,BELLROSE           ,11426
FLORAL PARK GAS                        ,286 JERICHO TURNPIKE                   ,FLORAL PARK        ,11001
GARDEN GOURMET DELI                    ,839 STEWART AVENUE                     ,GARDEN CITY        ,11530
LONNY'S GOURMET GOODIES                ,263 NASSAU ROAD                        ,GARDEN CITY        ,11530
GULF - GARDEN CITY                     ,2399 JERICHO TURNPKE                   ,GARDEN CITY PARK   ,11040
NEW YORK HEALTH & RACQUET CLUB         ,38 GREAT NECK ROAD                     ,GREAT NECK         ,11021
MIDDLE NECK CHEMIST                    ,531 MIDDLE NECK ROAD                   ,GREAT NECK         ,11021
DELI ON THE GREEN                      ,647 MIDDLE NECK ROAD                   ,GREAT NECK         ,11021
LIME LITE                              ,170 MIDDLE NECK ROAD                   ,GREAT NECK         ,11021
BP CONNECT (AMOCO) - GREAT NECK        ,133 CUTTER MILL ROAD                   ,GREAT NECK         ,11021
KINGS POINT DELI                       ,81 STEAMBOAT ROAD                      ,GREAT NECK         ,11021
NORTH SHORE TOBACCO                    ,131 NORTHERN BLVD                      ,GREAT NECK         ,11021
FAMILY FRUIT FARM                      ,15 GREAT NECK ROAD                     ,GREAT NECK         ,11021
YOGURTERIA                             ,14 GREAT NECK ROAD                     ,GREAT NECK         ,11021
AMOCO                                  ,4 NORTHERN BLVD                        ,GREAT NECK         ,11021
NEWSTAND (GREAT NECK RR STATION)       ,37 N STATION PLAZA                     ,GREAT NECK         ,11021
SHOP DELIGHT                           ,4 WELWYN ROAD                          ,GREAT NECK         ,11021
HOT BAGELS DELI                        ,6A BOND STREET                         ,GREAT NECK         ,11021
SHELL                                  ,605 NORTHERN BLVD                      ,GREAT NECK         ,11021
GULF GAS                               ,566 NORTHERN BLVD                      ,GREAT NECK         ,11021
BP AMOCO                               ,658 NORTHERN BLVD                      ,GREAT NECK         ,11021
CAFE 600                               ,600 NORTHERN BLVD                      ,GREAT NECK         ,11021
BAGEL TOWN                             ,45 NORTHERN BLVE                       ,GREAT NECK         ,11021
JULIE BELLES                           ,98 NORTHERN BLVD                       ,GREAT NECK         ,11021
1010 CAFE                              ,1010 NORTHERN BLVD                     ,GREAT NECK         ,11021
ENTRE                                  ,10 GRACE AVENUE                        ,GREAT NECK         ,11021
"SODEXHO - CANON,USA                    ",1 USA PLAZA ROAD                       ,LAKE SUCCESS       ,11042
LAKEVILLE DELI                         ,2028 LAKEVILLE RD.                     ,LAKE SUCCESS       ,11042
GARDEN CAFE                            ,2001 MARCUS AVE                        ,LAKE SUCCESS       ,11042
RAINDEW PLANDOME                       ,465 PLANDOME ROAD                      ,MANHASSET          ,11030
MESSINA MARKET EXPRESS                 ,1482 NORTHERN BLVD                     ,MANHASSET          ,11030
A&F MARKET                             ,393 PLANDOME RD.                       ,MANHASSET          ,11030
ORLANDO'S                              ,369 PLANDOME ROAD                      ,MANHASSET          ,11030
MANHASSET TRAIN STATION                ,295 PLANDOME ROAD                      ,MANHASSET          ,11030
MOBIL                                  ,1021 NORTHERN BLVD                     ,MANHASSET          ,11030
MANHASSET CAR WASH                     ,201 E SHORE ROAD                       ,MANHASSET          ,11030
7-11 #32770                            ,207 JERICHO TURNPIKE                   ,MINEOLA            ,11501
EXXON - MINEOLA                        ,549 JERICHO TURNPIKE                   ,MINEOLA            ,11501
BENCHMARK CAFE                         ,170 OLD COUNTRY ROAD                   ,MINEOLA            ,11501
STOP 24 CONVENIENCE                    ,130 E JERICHO TPKE                     ,MINEOLA            ,11501
LUCKY MINI MARKET INC.                 ,209 WILLIS AVENUE                      ,MINEOLA            ,11501
CONVENIENCE CORNER                     ,204 STATION PLAZA NORTH                ,MINEOLA            ,11501
JDMC STATIONARY                        ,200 OLD COUNTRY ROAD                   ,MINEOLA            ,11501
MINEOLA NEWSTAND                       ,STATION PLAZA TRAIN                    ,MINEOLA            ,11501
GULF - NEW HYDE PARK                   ,2201 NEW HYDE PARK RD.                 ,NEW HYDE PARK      ,11040
THRIFTY BEVERAGE                       ,2280 JERICHO TPKE.                     ,NEW HYDE PARK      ,11040
DENTON AVENUE DRIVING RANGE            ,377 DENTON AVENUE                      ,NEW HYDE PARK      ,11040
MIKE'S CONVIENCE                       ,804 JERICHO TURNPIKE                   ,NEW HYDE PARK      ,11040
BP GAS                                 ,2298 JERICHO TPKE                      ,NEW HYDE PARK      ,11040
1 PARK CAFE                            ,1111 MARCUS AVENUE                     ,NEW HYDE PARK      ,11040
LA FITNESS HEALTH CLUB                 ,1111 MARCUS AVENUE                     ,NEW HYDE PARK      ,11040
COASTAL GAS                            ,720 HILLSIDE AVENUE                    ,NEW HYDE PARK      ,11040
BP AMOCO                               ,1301 JERICHO TPKE                      ,NEW HYDE PARK      ,11040
MEDITERRANEAN MARKETS                  ,293 MAIN STREET                        ,PORT WASHINGTON    ,11768
HINCKS DELI                            ,666 PORT WASHINGTON BLVD.              ,PORT WASHINGTON    ,11050
PORT CONVENIENCE                       ,705 PORT WASHINGTON BLVD.              ,PORT WASHINGTON    ,11050
SALEM DELI                             ,362 PORT WASHINGTON BLVD.              ,PORT WASHINGTON    ,11050
CATILLO DELI                           ,24 AVENUE A                            ,PORT WASHINGTON    ,11050
NSK SON'S                              ,99 SHORE ROAD                          ,PORT WASHINGTON    ,11050
SWEET ORANGE                           ,4B MANORHAVEN BLVD                     ,PORT WASHINGTON    ,11050
SUPREME HOT FOODS                      ,148 MAIN STREET                        ,PORT WASHINGTON    ,11050
